tweet,label
"@user (c) grew with resentment for herself and the world around her.\n\nHer spine tingled as she heard the incessant clicking of a (c) 
",3
"@user are we in for Lemar even though wenger was very coy about him in his press conference 
",0
"My mother-in-law, in a fit of #rage, referred to someone as a 'yo-yo'.\n#yoyo #motherinlaw #amirite #fitofrage 
",0
"@user Maybe don't nom so many raging dicks, Donny!  Jeez, it's like teaching a baby to fly a jet! 
",0
"You know your (numerous)meds have kicked in when you find stupid things highly amusing #BPDproblems #KeepTalkingMH  #mentalhealth 
",0
"@user believe it! you can start your temper tantrum now/ 
",1
"@user Really?? Because music analyzes your screenshots with my microscope too??? I didn't think so #offended 
",3
"#LT a mom let her kid pay for the bus. The kid dropped the coins. I'm boiling in rage. My face may be straight bu my eyes say IMGONNAKILLYA 
",3
"Don't grieve over things so badly.. 
",1
"@user ballroom dancing class tomorrow, any advice for a first timer?  
",2
"you begin to irritate me, primitive 
",0
"@user It's been a little Twitter saga lately. The tea thing is horrific, plus they never have fresh milk to put in it. 
",0
"Just #snorted #laughing @user #outtakes @user @user #hilarious Best duo ever! @user 
",1
"They say ur a prdct of ur surroundings. A bit intimidated by the crazy amazing ppl I met @ @user @user @user @user 
",2
"Three more shifts then I start the next part of my tutorship in response #enjoyingthelastfewdays #excited #nervous #newchallanges 
",3
"This nightmare is nearly over gang gang gang 
",1
"@user It's an evening for lying around doing feck all. Looks like an October evening down here #miserable 
",1
"@user Goddess, that poor girl 🙁 
",2
"i haven't had to speak maltese in over two years and now have relatives calling me about the trip and it's terrible 🙃 
",1
"@user i know 😰 
",3
"Cold sores are the worst. The second you smile or laugh, it's over. Blood everywhere 
",2
"@user Ganguly chose? It is Kohli's provocation which compelled Dada to pick that pretentious fuck. 
",3
"@user @user She is Right shld burn them alive 😡 it's even more better if they burn you with ur brothers 😠 
",1
"#unforgiveness lives in the #dark 
",1
"@user shocked as well. but bc I cheer for another club in the swiss league… 
",0
"@user They give awful service and you haven't got back to my complaint yet. Can you guess the airline? #dontflyBA #annoyed 
",0
"@user So are you saying there's a good chance that two teams might *gasp* finish last? One in the East and one in the West? #offended 
",0
"We're in the bathroom and you perch on the sink,\nI begin to infatuate, exasperate, resuscitate. 
",1
"Scared to leave the routine but excited to break out the mould 😖 #scared #confused #happy #undecided #excited 
",1
"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you 
",1
"That became obvious with the Morata saga. The fucking bitter old cunt turned down 70m for that sideman. 
",0
"Signs of Incipient Faggotry are the arsehole quivering and puckering. 
",3
"i'm nervous 
",0
"'If you try to get rid of #fear and #anger without knowing their meaning, they will grow stronger and return.' \n― Deepak Chopra 
",1
"@user im sorry i voted jeans &lt;/3 u look banging who tf needs food anyway when ur a student existential dread feeds us 
",1
"Hey @user would it be safe to assume that this is the most disappointing #madden in years in your opinion? 
",0
"@user @user Yes it is. I especially love the ramble chat love when they go off topic for like ten minutes. #awesomeness 
",2
"this weather = my mood ☔ #miserable 
",3
"@user Why do you send me a sales email suggesting that I am procrastinating 'asking out Derek from accounts'?  I am male.  
",1
"@user let that sink in 
",0
"She doesn't know how to smile! So be it! #pissed 😏😒😠😡😤👀👄👊👎🙍💔 
",2
"Humble yourself in the sight of the LORD. If we have died in Christ, then how can we be offended? A dead person cannot feel anything, right? 
",2
"Chiropractor time  #crackle #pop #chiropractor 
",3
"u can get an oreo shake at burger king 
",2
"It takes a smoke detector 4 months to stop beeping if you were wondering how #lazy I am. #lol #funny #Comedy #laughs #CrackMeUp #hilarious 
",0
"@user Sir, what about 2G, 3G, 4G, Coalgate, scams Parliament Attack, Mumbai terror attacks despite intelligence input. 
",0
"watching that video and realizing that I've gotten uglier #depressed 
",3
"fuckfuckfuck my hands are shaking 
",1
"dark lucha truly is the best 
",1
"@user @user yeah you have not been the perfect patient like I was #dread 
",0
"I'm so sick of that 'I'm done w. My ex na we're never getting back together' crap so You can get back together in like a month 😂 
",2
"Come on blues #StateOfOrigin #Origin  #NSWBlues #nsw 
",2
"@user Happy birthday cuzzo many blessing🙌🏾💪🏾🇳🇬💯#KeepGrinding #blessed 
",0
"@user don't #worry, froggy\nit will SOON be TIME for #FROGFEARFRIDAY! 
",2
"I'm legit in the worst mood ever. #annoyed #irritated 
",0
"I think that Nuclear weapon and Cyber weapon are big threats, but I think that the bigger threat is Scalar weapon ...\n#scalar #threat 
",2
"Watching #ScottishOpenHeroChallenge from last night... Smoke, flames, tense sound effects and lively commentary.. #boring #dull #shite 🙈 
",0
"@user @user @user watching the #totalsolareclipse on ur channels right now #amazing what's happening in the #usa 
",1
"faint glimpse of the circling stars. Presently, as I went on, still gaining velocity, the palpitation of night and day merged into one 
",1
"@user You made me laugh today when you told a caller to turn up the volume, that you weren't doing the #MarvinGaye thing #levity 
",0
"'look at your face in a mirror... You are so fat and dark... You can't have lunch with us' #kids #meangirls #rude #insult 
",1
"I'm so angry 
",3
"my name is sara, im 20 years old and i cant believe boiling an onion is making me cry 
",0
"Looking for good news today...not finding any on Twitter. Bummer. 😢 #depressing #badnews 
",1
"@user Jerrrrrr a woman is been stabbed in the face and now guys r arguing about her ass being real or not hehehee  
",2
"AJ ends up being a terrible character, but no one in his family ever actually speaks to him. He witnesses so much and just gets sent away. 
",3
"@user Like you said, its all propaganda against #Israel. Palestinian adults and their Govt are full of #hatred. So sad to see 
",2
"I hung up on my manager last night 😭 
",1
"@user Bro no you don't you'll be so dissapointed in me 😂 il let you read it next time you're down here tho 💁 
",2
"@user keep your head clear an focused. Do not let T intimidate you or use your children to silence you! Hate when a man does that! 
",1
"If your only response to this current political crap show is 'but Hillary!!' Or 'but Obama!!' you need to start looking for a new argument. 
",0
"@user Although I have a nice vulva, I choose not to intimidate other women with it. 
",2
"every time i think abt hobi crying i start crying 
",2
"Don't justify Terrorism as communal hatred. #AmarnathTerrorAttack is sheer Act of cowardice. Let's unite together against terrorism. Luv all 
",0
"God bless him in Hong Kong! #ex  
",0
"@user The best of make up horror story... 
",1
"@user @user Naming India Lynchistan is not provocation terror is a provication even when terror has no religion. 
",2
"@user Why don't you try nominating qualified people; B.DeVos, T.Pruitt, R.Perry,etc...really? They are terrible! 
",3
"#GameOfThones how can you top that next week #heartbreaking 
",3
"John 14:27\nLet not your heart be troubled, neither let it be afraid. #peace #afraid 
",3
"@user At least smile a little holy crap Twiggy. 
",2
"we will send video to proper agency ,state workers harass the public to fuel the ego of Scott Arniel  and trial court what the bleep #bully 
",1
"@user Your majority is 635 members of the public- believe me you have offended rather more than 635 voters! 
",1
"@user @user no it was a selfie of him from seven months  ago look at the top left of the snap people 
",0
"Do you ever just get so excited that you're trying to sleep &amp; just can't even close you eyes😁like I really need this catnap but #excitement 
",2
"Fools! Little did you know that getting angry and trusting your instincts by walking right into my trap was a mistake! 
",0
"Just know USA, all Canadians don't agree with what Khadr's settlement and his unwillingness to take responsibility for his actions. #outrage 
",3
"feeling like a grim reaper all day hehehe\n9 days pa 🎩✉️ 
",3
"@user Ha, sadly not: just the undying respect of your peers, I'm afraid... 
",0
"Look at this little guy! He is connecting to his magical self.😇\nWhat do you do to keep life magical?🌈 @user #magical  #be 
",3
"@user The GOP controls the Senate. Blaming the Dems seems #sad. 
",3
"Life is too short to hide your feelings. Don't be afraid to say what you feel. 
",1
"#Sleep is my #drug. My bed is my dealer. My #alarm is the #cops. #School is the #jail. #TeamFollowBack 
",2
"@user Oh no, jumper on again, has it turned colder? 😟 Have a terrific day🙋🏼🌸🌼🌻💕💕 
",2
"and every time i cry hard, fear blankets me 
",3
"the thing about living near campus during the summer is that it's a ghost town but now everyone is back and im #annoyed 
",0
"get u a goofy shorty w/ a big heart &amp; a anger problem.. 
",0
"@user sad day Danny 😓you have been and still are a true Leeds rhino you have been brilliant at the club I will miss you 
",1
"The one most important thing we forget. That we need to denounce terrorism, not stoke communalism  #AmarnathTerrorAttack 
",1
"I fw @user he don't hesitate to speak his mind 
",3
"@user Ah that's a neat idea, will check that out - might makes me more depressed about my slowness tho 🤣 
",2
"Negative self-talk in #depression can extend to sleep, with catastrophic thinking about the impact of poor sleep fueling insomnia. 
",2
"Mentally suffered #iwanttodie #worthless #lifewithoutcolor  #pain #suicidal 
",3
"So exhausted I could cry 😭 
",3
"@user @user @user You need a new tactic post-Trump/Brexit. Hurling that insult around no longer works I'm afraid. 
",0
"#Thoughtoftheday: 'Perpetual optimism is a force multiplier.' - Colin Powell #quote #optimism #positivity 
",1
"Part of #danielhive #insecure i got you 
",1
"If I were my own republic, I would declare war on patchouli incense. 
",1
"So, if you have a really tiny penis, get help, but please don't try to compensate on the road  #bigcar #tinypenis #roadrage 
",2
"'Florian Picasso - Final Call' is raging at ShoutDRIVE! 
",0
"He is holding her so close, wrapped his hands around her shoulder, she is holding them and they're both smiling. I'm still living. ☺️ 
",1
"So apparently one of your bus drivers has a grudge against me @user I was passed while waiting for it to stop. Real service there.. 
",1
"#YummyMummiesAU Are you serious! Breastfeeding should be illegal?! You breathing our air should be illegal, dumbass! #stupid 
",3
"No offense to the girl next to me but dousing yourself with cheap cologne won't hide your rank smell 
",2
"this one lady literally parked next to me and scared the shit out of me 🙃 
",2
"Things that rage me: when I hear a man ask a woman if she thinks her skirt/dress is too short\n\n😨😵😠😡😤 #shame #rage #Feminism #feminist 
",2
"Catching up on Greys, almost couldn't make it through two episodes because of how sad the storyline was. Two best/worst eps for me.  
",1
"@user Support Qld and you'd never be #angry 
",1
"The stupidest and weirdest thing people do. And what's more stupid than that? They upload it online. Oh my god. But good for laughter ah. 🤣🤣 
",2
"oh how i just love love love glee doing billy joel's numbers!!!! 
",3
"Wonder how many times connor says fuck in press conference #lost count 
",0
"Every day I dread doing an 8 hour shift in retail 🙂 
",1
"Psalm 2:12 Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little. 
",2
"So excited for the final 10 eps of @user So happy @user is back and @user returns, as well as @user 😄❤ 
",3
"that moment when you feel meaningless and just feeling like you cant do anything right =*( #foreveralone  
",0
"One of those days. #Mentalhealth #Anxiety #agoraphobia #panic #depression #OCD 
",0
"My neck still hurting though... 😥 
",3
"@user I know it bothers me that u worry my love@zae200012 😢😢 
",3
"@user @user oh, that too! 🤣 
",1
"on the upside i saw a corgi puppy on the tube today. my shining light in the dark. 
",0
"When you miss a call from @user #devastated 😭 I'm trying not to #cry 😭 
",1
"Be fuming if Sunderland sign Murphy like. He was crap when we first signed him and he's still crap now 
",3
"The use of violence, threat of violence and intimidation just tag zany pf. Very good at it. 
",1
"@user Think it lost its heart after the second version. Third was disappointing and haven't played the fourth yet 
",1
"@user This is goin to be as good as rocky vs hogan #terrible #ohnowhatisyoudoingbaby 
",3
"@user @user Hope to come #yay Do u have central accom list plse? (Lone gal trying to avoid taxis 😉) 🏰 #History #joy 
",0
"Codes? Lyft codes? We got em! Use: OATH #Great deals are here for you now  #LOVEISLOVE 
",0
"I'm sorry. Im much more interested in the #BachelorInParadise rose ceremony than whatever @user has. #seriously  
",1
"Prepare to suffer the sting of Ghost Rider's power! Prepare to know the true meaning of hell! 
",1
"#AmarnathTerrorAttack @user @user cn u plz ans wt u r afrd of or wt stpng u to end #terrorism wn whol #India is stndng wth u 
",2
"@user i'm very happy glad or whatever the feelings i'm not into dramas 
",2
"@user @user You. Sir are a alarmist unsubstantiated facts. And a idiot 
",0
"@user @user it is indeed time 4 you 2 create the Ghost Filter 👻 please🙏🏾#CanWeGetAGhostFilter ???  #snapchat #ghostfilter #retweet 
",2
"Thousands of pickled dunder-headed anthracites ! #furious 
",1
"Usually the things you are most #afraid of are the most #worthwhile. #FACT #TeamFollowBack #rocktheretweet 
",2
"@user no air working in the 1sr carriage of the 18:03 from Victoria to Bognor. #boiling #southernfail 
",1
"@user awe feels or que :,( 
",3
"To be really knowledgeable and really petty is such a delight to behold. 
",2
"An #angry #person may lose his/her objectivity, empathy, prudence or thoughtfulness and may cause harm to others. 
",3
"Said it once and I'll probably say it again, anything more depressing than making your sandwiches for work the next day #cry 
",3
"@user Please, please do something about her! Where's Kayleigh, Jack, Jeff? Ugh. #awful #doctor? 
",3
"They are burning not Muslims Economy,\nThey are burning the Economy of Sri-Lanka 
",1
"Why  o they call it a happy mea. if it tastes like a whole lot like depression. 
",3
"Johnny doesn't seem like the suicidal type #suspicion #tcmparty 
",3
"Wow that last chick was a bit intense, poor Freddie was a bit unnerved lol #NinjaWarriorAU 
",2
"If I see one more Lakshmi EX enrage, I'm kill someone. 
",2
"filled with sophisticated glum 
",1
"lonely is not being alone, it's the feeling that no one cares. #alone #depressed #anxiety 
",0
"or just blame the gloomy weather 
",3
"I dreamt that my dog, Snoopy, came back to life. Man I miss that dog 🙁 
",0
"But DAMN the sight of them getting scared af makes me feeel SOOO BAD! Which they should feel afraid cause if their mom don't come n it them 
",2
"@user after you said an apple pie isn't naughty I really want Chris or  @user to say 'but a cream pie is' #naughymind #rage 
",2
"Sometimes in #life ....\nSee the #statement itself #sounds so #temporary\nNothing is permanent isn't it?\nSo #never #worry let it go &amp; #moveon 
",0
"From the archives... Strikeforce Champ Ronda Rousey 301 #chirp #church #mayhemmiller #naked #rip #rondarousey #twitter 
",3
"Tomorrow should be interesting if info is being released re away priority &amp; Canalside membership! #outrage #htafc 
",0
"@user i cant wait for the day you release the album so that i can finally unleash my fury \n\ni hate this long ass hiatus ok afshdkflckakdbwi 
",0
"@user yessss waiting for an epi is for the birds. it sucks. im waiting for walking dead new season😩  
",0
"#note8 #animated said pen. Amazing. Wife loves this one 
",2
"@user @user It ruins my frigging night each night at 9pm. Mrs loves it, i've been early to bed for a month.  
",3
"Ugh @user really do have the worst customer service!!!!!!! #astounded 
",2
"I'm fuming I wanted Hamez 
",1
"My main concern are the children and his wife thats if she is still stuck with him and if she is, then she's strong af. Jeez 😟 
",3
"@user omg.  Who is this nan Hayworth person and where did she come from? Send her back!#sad #bad 
",2
"@user Been there done that  
",2
"i want to ruffle jungkook's hair.... this is so sad 
",1
"Don't be afraid to ask questions! He's real &amp; there's always a revelation. 
",1
"@user Wow I've just spotted the cutest human being alive #blessed 😍 
",2
"I've seen the innocence leave your eyes. I still mourn this death. 
",1
"@user I coloured my hair bright red AND had a dodgy fringe. #dreadful #nophotos #thankgoodness #betterblonde 
",3
"You couldn't mind me up more if you tried right now raging 🙃😠 
",0
"Robert called me to make sure I was awake for my night class  
",0
"@user Fuck off. Enough of this fake solidarity. #NotInMyName was a rabid #Hinduphobic campaign. Stop giving them legitimacy. 
",1
"@user #croydonparkhotel will be receiving a big complaint from me tomorrow #worseservice #rudestaff #furious 
",2
"I hate these crippling anxiety. :( 
",0
"I finally got my drivers permit #yes #readytodrive #nervous #scared 
",3
"'....trying to work out how a band featuring Corin Tucker and Peter Buck (REM) could be so bad.' WAAHHHHH @user  #devastated 
",0
"@user @user My shirt did not arrive today as promised, I even pre-ordered it in June, who do I make my complaint to ?  
",1
"@user aw, you make me smile, too.😉😘 
",1
"@user @user Eng.R  u call a spade a spade if u were good lets all mourn but if you not pop a bottle and say good riddace 
",2
"I should wear black &amp; mourn a lil'. 
",2
"@user I've tried to get through 3 times today and waited 20 mins each time, what do I have to do to get through?!  
",1
"Getting up for work is so much harder when Charles doesn't have to 🙁 
",1
"@user when you try to place an order on PLT website and it comes up with an error but still take money out of my account #fuming 
",3
"@user Looking at babies just makes me cross my legs and wince 😂 
",3
"@user @user So what's wrong in burning the terrorists alive? If they kill you do you want biryanis and award in return 
",0
"had noodles for tea\nyummmmmmy\n#yum #yummy #ddlg #abdl #chgl #noodles 
",0
"The times when you need someone to lean on but sadly they are only there if they need you 
",2
"@user Id argue that sakura space is the best of the franchise and its not on your list. #dissapointed 
",3
"@user because one of the main symptoms is restlessness and it could explain why he isn't able to sleep/might not want to 
",2
"Wow ... I don't know who Jocelyn Alice is, but judging by her rendition of Oh Canada, I'll never buy any of her music #AllStarGame #awful 
",2
"@user is dani alves really going to go to PSG in your opinion #nervous 
",1
"My heart is hurting because I had to pour my milk out because something was in it 😭 
",1
"3. There is already a lot of resentment against the coal miner and union crowd among the liberals. They are seen as racist and as having 
",3
"So, basically, Donald Trump was so intimidated by Hillary Clinton that he sought foreign assistance (including cyberattacks) to 'win'? 
",2
"@user Have the most wonderful day Ian.  
",1
"Why is @user 'busted' bc he spoke w/Russian lawyer? He's a world bizman. Where was the outrage bc @user honeymooned there? 
",0
"Did they offend us and they want it to sound new? 
",2
"@user An outrage 
",1
"I've seen some get so discouraged in their old age becos they aren't physically able 2 do the things for God they used 2 do in their youth. 
",1
"Holding a #grudge is like allowing someone to #live #rent #free in your #head #WednesdayWisdom #MotivationalQuotes 
",3
"Looking up some phone prices online and it just saddens me even more 😧  
",1
"QLD are like the All Blacks #relentless 
",2
"@user use the F word as much as you need to. People may start to listen. :) 
",3
"@user It used to scare me too...  But it's better this way. 
",2
"Another blow for students as the SU have shunned wildcats for fear they will offend Dr. Dre. 
",3
"We get #upset when we are #overlooked for doing things for others, even small things. Imagine how #Jesus feels when he died for our sins. 
",0
"Lying at the pool with John , ice cream , drinks, 29 degrees and listening to busted ✌🏼️ #bliss 
",2
"Morning Swindon!\nIs there any chance you can cheer yourself up a bit?!! #bleak 😝 
",3
"Words cannot describe the sheer pain of the blisters caused by these new sandals. I am this close to going barefoot all the way home #grim 
",0
"@user @user Happy birthday Mom what a wonderful cake delivery youre blessed 
",1
"Have you ever spoke in tongues, don't be afraid. 
",3
"LibertySeeds: realDonaldTrump LizCrokin Great #start for #MAGA ... 
",1
"@user Really it was very sad and shame!!! 
",2
"blood rage 
",2
"Feeling slightly apprehensive, but amazing after this weekend off😊  
",3
"Having a movie day with my favorite today 😄 god I love my lil goth bean. 
",1
"Quote of the day comes from Queen Cersei herself @user 'Power hungry people are fearful, otherwise why wouldn't you just chill?' 👏 
",2
"@user @user It's what they'll be known for. Temper tantrums, obstruction, working against the American people. 
",1
"@user I think I will tomorrow. I ain't ready for all those feels though. 😥 
",0
"@user Nope we don't have it. It's an #outrage 
",2
